model,ch,seed,fold,acc_A,f1_A,acc_B,f1_B
M13,62ch,1,6,0.2710578842315369,0.2695096979598369,0.3323943661971831,0.3146594587211528
M13,6ch,1,6,0.4363273453093812,0.4400562694603801,0.5114688128772635,0.5016943262576881
M14,62ch,1,6,0.2279441117764471,0.2176837233454765,0.2551307847082495,0.24822024184713282
M14,6ch,1,6,0.41996007984031936,0.427086078082654,0.4482897384305835,0.4078012661481144
M15,62ch,1,6,0.36207584830339323,0.3621288908410211,0.3617706237424547,0.35104823069070845
M15,6ch,1,6,0.37485029940119763,0.35181993350392926,0.40321931589537224,0.3791411379539395
M16,62ch,1,6,0.43353293413173655,0.4223634458499787,0.4253521126760563,0.4180932216318359
M16,6ch,1,6,0.27265469061876246,0.2714329132913518,0.3472837022132797,0.3457177643600061
M17,62ch,1,6,0.36167664670658684,0.35398849145568356,0.44748490945674047,0.447214368237563
M17,6ch,1,6,0.3277445109780439,0.31875069044970833,0.4152917505030181,0.4018871130996943
M18,62ch,1,6,0.40039920159680636,0.3850246613413818,0.4164989939637827,0.40025153587115225
M18,6ch,1,6,0.3073852295409182,0.3137651274772524,0.3187122736418511,0.3132762021271249
M19,62ch,1,6,0.4622754491017964,0.4582253343941225,0.49617706237424547,0.49954177265244104
M19,6ch,1,6,0.3213572854291417,0.31924776735103033,0.3903420523138833,0.3458689563701186
M20,62ch,1,6,0.18922155688622755,0.1922815213155246,0.19597585513078472,0.20680952637243347
M20,6ch,1,6,0.37964071856287424,0.38382023693799894,0.386317907444668,0.3876625156777503
M11,62ch,1,7,0.7405189620758483,0.7279507991381516,0.7637826961770624,0.7605797103004409
M11,6ch,1,7,0.6291417165668662,0.6115385243155234,0.6663983903420523,0.6580072936206666
M12,62ch,1,7,0.639121756487026,0.6352467444227178,0.5694164989939637,0.5711338802329193
M12,6ch,1,7,0.6327345309381237,0.6324377990728947,0.6209255533199195,0.6070638577162992
M13,62ch,1,7,0.7405189620758483,0.7397850856701285,0.6997987927565392,0.6970214621817055
M13,6ch,1,7,0.5101796407185629,0.4910496457845719,0.53682092555332,0.5184386816956064
M14,62ch,1,7,0.5033932135728543,0.49638027146771657,0.5062374245472837,0.4974996553191902
M14,6ch,1,7,0.6035928143712574,0.6099032812076322,0.6338028169014085,0.6368706412014485
M15,62ch,1,7,0.6602794411177645,0.6590178725005457,0.7408450704225352,0.7360603553506526
M15,6ch,1,7,0.6898203592814371,0.6745416752188572,0.6466800804828974,0.6307226469664693
M16,62ch,1,7,0.6291417165668662,0.6122432542128884,0.6422535211267606,0.6262991390309469
M16,6ch,1,7,0.5281437125748503,0.5315858208152033,0.5303822937625755,0.5372192467416513
M17,62ch,1,7,0.7221556886227545,0.7152235261883486,0.7311871227364185,0.7257931776871243
M17,6ch,1,7,0.4678642714570858,0.47128330114629224,0.5154929577464789,0.5118156069270169
M18,62ch,1,7,0.5640718562874252,0.5612264497352012,0.5818913480885312,0.5774238161839335
M18,6ch,1,7,0.4219560878243513,0.42029321496170596,0.4329979879275654,0.4331817723826813
M19,62ch,1,7,0.7660678642714571,0.7590334397767067,0.7364185110663984,0.7357675112507588
M19,6ch,1,7,0.5245508982035928,0.5286635452212807,0.5070422535211268,0.5123181007343495
M20,62ch,1,7,0.5481037924151697,0.5405423358884516,0.5601609657947686,0.5473246108898591
M20,6ch,1,7,0.3968063872255489,0.40609359928621835,0.4152917505030181,0.4230416202481728
M11,62ch,1,8,0.4487025948103792,0.4390548405076529,0.44386317907444667,0.4450493492503473
M11,6ch,1,8,0.38842315369261476,0.36961430572242915,0.3710261569416499,0.3586368871812919
M12,62ch,1,8,0.39481037924151696,0.38235250017371203,0.4301810865191147,0.41134940332242365
M12,6ch,1,8,0.5261477045908184,0.5290139384969939,0.586317907444668,0.5891735354462274
M13,62ch,1,8,0.48582834331337327,0.4638154025198471,0.5167002012072435,0.5086106367560681
M13,6ch,1,8,0.40718562874251496,0.37427199201470385,0.4857142857142857,0.4803624485203219
M14,62ch,1,8,0.36447105788423156,0.35191389343996043,0.38309859154929576,0.37120365976581
M14,6ch,1,8,0.500998003992016,0.45899683061610613,0.5138832997987928,0.46592934995206337
M15,62ch,1,8,0.4251497005988024,0.4061653247868712,0.3645875251509054,0.35879003950696775
M15,6ch,1,8,0.39840319361277443,0.39139987877690996,0.3899396378269618,0.37006982736252747
M16,62ch,1,8,0.42115768463073855,0.42088210207240745,0.43219315895372235,0.4249601065290938
